Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword,ctr,cpc,cpm,conversion_rate,roas
A1408,Data Analytcis Course,114.0,5217.0,247.94,11.0,10.0,0.088,1876.0,2024-11-18,HYDERABAD,desktop,data analitics online,0.02185163887291547,2.1749122807017542,47.5253977381637,0.08771929824561403,7.56634669678148
A1409,Data Analytcis Course,162.0,4301.0,223.77,21.0,7.0,0.043,1066.0,,HYDERABAD,mobile,learn data analytics,0.03766565914903511,1.3812962962962965,52.02743548012091,0.043209876543209874,4.763819993743576
A1410,Data Analytcis Course,95.0,5971.0,214.57,29.0,10.0,,1539.0,2024-11-16,HYDERABAD,mobile,analytics for data,0.015910232791827166,2.2586315789473685,35.935354212024784,0.10526315789473684,7.172484503891504
A1411,Data Analytcis Course,163.0,5160.0,184.84,19.0,4.0,0.041,1773.0,,HYDERABAD,desktop,data analytics course,0.0315891472868217,1.1339877300613497,35.821705426356594,0.024539877300613498,9.592079636442328
A1412,Data Analytcis Course,148.0,5947.0,212.38,12.0,4.0,,1294.0,,HYDERABAD,mobile,online data analytic,0.024886497393643854,1.435,35.71212375987893,0.02702702702702703,6.092852434315849
A1413,Data Analytcis Course,156.0,4150.0,223.17,20.0,10.0,0.064,1940.0,,HYDERABAD,tablet,learn data analytics,0.037590361445783135,1.430576923076923,53.77590361445783,0.0641025641025641,8.69292467625577
A1414,Data Analytcis Course,99.0,4040.0,,13.0,5.0,0.051,1502.0,2024-11-26,HYDERABAD,tablet,online data analytic,0.024504950495049506,,,0.050505050505050504,
A1415,Data Analytcis Course,124.0,5956.0,201.44,12.0,9.0,0.073,1598.0,2024-11-24,HYDERABAD,tablet,data analitics online,0.020819341840161182,1.624516129032258,33.821356615177976,0.07258064516129033,7.932883240667196
A1416,Data Analytcis Course,138.0,4769.0,229.44,27.0,8.0,0.058,,,HYDERABAD,mobile,data anaytics training,0.028936884042776265,1.662608695652174,48.11071503459845,0.057971014492753624,
A1417,Data Analytcis Course,140.0,3822.0,241.68,30.0,10.0,0.057,1138.0,,HYDERABAD,tablet,data analytics course,0.03663003663003663,1.7262857142857144,63.23390894819467,0.07142857142857142,4.708705726580602
A1418,Data Analytcis Course,81.0,3147.0,232.2,30.0,9.0,0.111,1066.0,2024-11-29,HYDERABAD,mobile,data analytics course,0.025738798856053385,2.8666666666666667,73.78455672068635,0.1111111111111111,4.590869939707149
A1419,Data Analytcis Course,165.0,4613.0,246.72,19.0,3.0,0.018,1055.0,,HYDERABAD,tablet,data anaytics training,0.03576848038153046,1.4952727272727273,53.48363321049209,0.01818181818181818,4.276102464332037
A1420,Data Analytcis Course,193.0,4919.0,247.24,19.0,4.0,0.021,1933.0,,HYDERABAD,desktop,data analitics online,0.039235616995324255,1.2810362694300519,50.26224842447652,0.02072538860103627,7.818314188642614
A1421,Data Analytcis Course,149.0,5205.0,218.42,20.0,4.0,,1070.0,,HYDERABAD,mobile,online data analytic,0.02862632084534102,1.4659060402684563,41.96349663784822,0.026845637583892617,4.898818789488143
A1422,Data Analytcis Course,81.0,3497.0,226.66,11.0,6.0,0.074,1047.0,2024-11-19,HYDERABAD,mobile,data analitics online,0.023162710895052903,2.7982716049382717,64.81555619102087,0.07407407407407407,4.619253507456102
A1423,Data Analytcis Course,153.0,4057.0,197.54,23.0,5.0,,1926.0,,HYDERABAD,tablet,data analitics online,0.03771259551392655,1.291111111111111,48.6911510968696,0.032679738562091505,9.749924066011948
A1424,Data Analytcis Course,127.0,5018.0,194.25,17.0,8.0,,1350.0,2024-11-21,HYDERABAD,mobile,data analitics online,0.02530888800318852,1.529527559055118,38.7106416899163,0.06299212598425197,6.94980694980695
A1425,Data Analytcis Course,99.0,4012.0,220.76,14.0,4.0,0.04,1698.0,,HYDERABAD,tablet,data anaytics training,0.024675972083748755,2.22989898989899,55.02492522432702,0.04040404040404041,7.6916107990578
A1426,Data Analytcis Course,104.0,3013.0,204.07,12.0,3.0,0.058,1016.0,,HYDERABAD,mobile,learn data analytics,0.0345170925987388,1.9622115384615384,67.72983737139064,0.028846153846153848,4.978683784975744
A1427,Data Analytcis Course,118.0,3824.0,184.8,16.0,5.0,0.042,1818.0,2024-11-19,HYDERABAD,desktop,learn data analytics,0.03085774058577406,1.5661016949152544,48.32635983263599,0.0423728813559322,9.837662337662337
A1428,Data Analytcis Course,148.0,5000.0,224.41,11.0,3.0,,1491.0,,HYDERABAD,mobile,online data analytic,0.0296,1.5162837837837837,44.882,0.02027027027027027,6.644088944342943
A1429,Data Analytcis Course,88.0,3804.0,249.2,10.0,8.0,0.038,1044.0,,HYDERABAD,tablet,data anaytics training,0.023133543638275498,2.8318181818181816,65.5099894847529,0.09090909090909091,4.189406099518459
A1430,Data Analytcis Course,142.0,3791.0,207.86,23.0,4.0,0.028,1073.0,2024-11-20,HYDERABAD,tablet,data analitics online,0.03745713532049591,1.4638028169014086,54.82986019519916,0.028169014084507043,5.162128355623977
A1431,Data Analytcis Course,127.0,5198.0,242.56,26.0,6.0,0.047,1872.0,2024-11-16,HYDERABAD,tablet,learn data analytics,0.02443247402847249,1.9099212598425197,46.66410157752982,0.047244094488188976,7.717678100263853
A1432,Data Analytcis Course,117.0,5329.0,212.49,14.0,5.0,,1888.0,,HYDERABAD,mobile,data analytics course,0.02195533871270407,1.8161538461538462,39.87427284668794,0.042735042735042736,8.885124005835568
A1433,Data Analytcis Course,125.0,5435.0,202.65,25.0,5.0,0.04,1767.0,2024-11-23,HYDERABAD,desktop,online data analytic,0.022999080036798528,1.6212,37.286108555657776,0.04,8.719467061435973
A1434,Data Analytcis Course,92.0,4977.0,209.78,26.0,3.0,,1834.0,,HYDERABAD,tablet,learn data analytics,0.01848503114325899,2.280217391304348,42.149889491661646,0.03260869565217391,8.742492134617217
A1435,Data Analytcis Course,112.0,3850.0,233.52,14.0,8.0,0.033,1760.0,2024-11-22,HYDERABAD,desktop,data analytics course,0.02909090909090909,2.085,60.654545454545456,0.07142857142857142,7.536827680712572
A1436,Data Analytcis Course,144.0,5976.0,197.65,13.0,9.0,0.062,1743.0,,HYDERABAD,mobile,data analytics course,0.024096385542168676,1.3725694444444445,33.0739625167336,0.0625,8.818618770554009
A1437,Data Analytcis Course,103.0,4693.0,218.67,14.0,10.0,,1390.0,,HYDERABAD,mobile,learn data analytics,0.021947581504368208,2.123009708737864,46.59492861708927,0.0970873786407767,6.356610417524124
A1438,Data Analytcis Course,117.0,4367.0,233.27,24.0,3.0,,1238.0,2024-11-24,HYDERABAD,tablet,learn data analytics,0.026791847950538128,1.9937606837606838,53.41653308907717,0.02564102564102564,5.307154799159772
A1439,Data Analytcis Course,100.0,5481.0,180.72,14.0,7.0,0.07,1185.0,2024-11-02,HYDERABAD,desktop,analytics for data,0.01824484583105273,1.8072,32.972085385878486,0.07,6.557104913678619
A1440,Data Analytcis Course,179.0,4109.0,191.84,19.0,4.0,0.022,1961.0,,HYDERABAD,tablet,online data analytic,0.04356291068386469,1.071731843575419,46.687758578729614,0.0223463687150838,10.222060050041701
A1441,Data Analytcis Course,180.0,3887.0,186.26,18.0,6.0,0.033,1048.0,,HYDERABAD,desktop,data analytics course,0.0463082068433239,1.0347777777777778,47.918703370208384,0.03333333333333333,5.626543541286374
A1442,Data Analytcis Course,146.0,4633.0,186.07,26.0,3.0,0.021,1053.0,,HYDERABAD,desktop,data anaytics training,0.03151305849341679,1.2744520547945204,40.16188214979495,0.02054794520547945,5.659160530982963
A1443,Data Analytcis Course,124.0,5353.0,239.69,13.0,4.0,0.032,1493.0,2024-11-19,HYDERABAD,desktop,learn data analytics,0.023164580609004295,1.9329838709677418,44.776760694937416,0.03225806451612903,6.228878968667862
A1444,Data Analytcis Course,169.0,5380.0,199.66,27.0,6.0,0.036,1059.0,,HYDERABAD,desktop,data anaytics training,0.03141263940520446,1.1814201183431952,37.11152416356877,0.03550295857988166,5.304016828608635
A1445,Data Analytcis Course,91.0,5104.0,211.85,29.0,9.0,,1309.0,2024-11-16,HYDERABAD,tablet,data analytics course,0.017829153605015673,2.3280219780219777,41.50666144200626,0.0989010989010989,6.1789001652112345
A1446,Data Analytcis Course,145.0,,236.03,24.0,8.0,,1220.0,,HYDERABAD,desktop,online data analytic,,1.6277931034482758,,0.05517241379310345,5.168834470194467
A1447,Data Analytcis Course,115.0,4345.0,229.71,15.0,4.0,,1467.0,2024-11-26,HYDERABAD,mobile,data analytics course,0.026467203682393557,1.9974782608695654,52.86766398158804,0.034782608695652174,6.386313177484654
A1448,Data Analytcis Course,123.0,3527.0,239.31,21.0,3.0,0.024,1536.0,,HYDERABAD,tablet,analytics for data,0.03487383045080805,1.945609756097561,67.85086475758435,0.024390243902439025,6.418453052526012
A1449,Data Analytcis Course,101.0,3330.0,209.8,19.0,10.0,0.099,1296.0,2024-11-14,HYDERABAD,mobile,data anaytics training,0.03033033033033033,2.0772277227722773,63.003003003003,0.09900990099009901,6.177311725452812
A1450,Data Analytcis Course,141.0,3913.0,245.32,21.0,3.0,0.056,1904.0,,HYDERABAD,desktop,analytics for data,0.03603373370815231,1.7398581560283688,62.693585484283155,0.02127659574468085,7.761291374531225
A1451,Data Analytcis Course,160.0,4597.0,211.88,21.0,4.0,0.025,,,HYDERABAD,desktop,data anaytics training,0.03480530780944094,1.32425,46.09092886665216,0.025,
A1452,Data Analytcis Course,105.0,3008.0,206.91,21.0,4.0,0.038,1009.0,2024-11-10,HYDERABAD,desktop,online data analytic,0.03490691489361702,1.9705714285714286,68.78656914893618,0.0380952380952381,4.876516359769949
A1453,Data Analytcis Course,178.0,5318.0,207.05,18.0,4.0,0.031,1421.0,2024-11-20,HYDERABAD,desktop,data analitics online,0.033471229785633695,1.1632022471910113,38.93380970289582,0.02247191011235955,6.863076551557595
A1454,Data Analytcis Course,189.0,5244.0,242.18,29.0,3.0,0.016,1080.0,2024-11-07,HYDERABAD,mobile,analytics for data,0.036041189931350116,1.2813756613756615,46.18230358504958,0.015873015873015872,4.4594929391361795
A1455,Data Analytcis Course,114.0,4804.0,249.33,14.0,6.0,0.053,1879.0,,HYDERABAD,mobile,data analytics course,0.02373022481265612,2.187105263157895,51.900499583680265,0.05263157894736842,7.536197007981389
A1456,Data Analytcis Course,160.0,5920.0,201.3,30.0,7.0,0.047,1080.0,,HYDERABAD,tablet,data analytics course,0.02702702702702703,1.2581250000000002,34.00337837837838,0.04375,5.365126676602086
A1457,Data Analytcis Course,101.0,5280.0,234.72,18.0,9.0,,1046.0,,HYDERABAD,tablet,data analytics course,0.019128787878787877,2.323960396039604,44.45454545454545,0.0891089108910891,4.4563735514655765
A1458,Data Analytcis Course,146.0,3887.0,206.59,26.0,9.0,0.062,1042.0,,HYDERABAD,desktop,online data analytic,0.03756110110625161,1.415,53.14895806534602,0.06164383561643835,5.043806573406264
A1459,Data Analytcis Course,128.0,4532.0,183.28,11.0,,,1571.0,,HYDERABAD,desktop,data anaytics training,0.02824360105913504,1.431875,40.441306266548985,,8.57158446093409
A1460,Data Analytcis Course,163.0,4125.0,246.09,27.0,5.0,0.031,1910.0,,HYDERABAD,mobile,learn data analytics,0.03951515151515152,1.5097546012269938,59.658181818181816,0.03067484662576687,7.761388110041041
A1461,Data Analytcis Course,193.0,5571.0,213.5,19.0,8.0,0.059,1754.0,,HYDERABAD,mobile,analytics for data,0.03464369054029797,1.1062176165803108,38.323460779034285,0.04145077720207254,8.215456674473067
A1462,Data Analytcis Course,179.0,4309.0,237.62,21.0,7.0,0.039,1719.0,,HYDERABAD,mobile,data analytics course,0.041540960779763283,1.327486033519553,55.14504525411928,0.03910614525139665,7.234239542126083
A1463,Data Analytcis Course,86.0,5538.0,223.13,22.0,7.0,0.037,1544.0,,HYDERABAD,tablet,data anaytics training,0.015529071867100036,2.59453488372093,40.29071867100036,0.08139534883720931,6.919732891139694
A1464,Data Analytcis Course,92.0,3162.0,202.76,25.0,5.0,,1577.0,,HYDERABAD,mobile,data anaytics training,0.0290955091714105,2.2039130434782606,64.12397216951297,0.05434782608695652,7.7776681791280335
A1465,Data Analytcis Course,125.0,5811.0,194.92,14.0,,0.03,,,HYDERABAD,tablet,data anaytics training,0.021510927551196008,1.5593599999999999,33.54327998623301,,
A1466,Data Analytcis Course,147.0,3112.0,206.74,12.0,8.0,0.054,1815.0,,HYDERABAD,mobile,data analytics course,0.04723650385604113,1.4063945578231294,66.4331619537275,0.05442176870748299,8.779142884782818
A1467,Data Analytcis Course,143.0,4492.0,188.98,13.0,3.0,0.056,,,HYDERABAD,mobile,online data analytic,0.031834372217275156,1.3215384615384616,42.070347284060546,0.02097902097902098,
A1468,Data Analytcis Course,181.0,,208.33,22.0,8.0,0.044,1932.0,2024-11-05,HYDERABAD,tablet,online data analytic,,1.1509944751381216,,0.04419889502762431,9.273748379974078
A1469,Data Analytcis Course,164.0,3872.0,210.53,12.0,5.0,0.03,1532.0,,HYDERABAD,tablet,data analitics online,0.042355371900826444,1.283719512195122,54.3724173553719,0.03048780487804878,7.2768726547285425
A1470,Data Analytcis Course,199.0,4255.0,212.84,14.0,6.0,0.054,1125.0,,HYDERABAD,desktop,learn data analytics,0.04676850763807285,1.0695477386934673,50.02115158636898,0.03015075376884422,5.28566059011464
A1471,Data Analytcis Course,83.0,,229.97,12.0,8.0,0.096,2000.0,,HYDERABAD,desktop,analytics for data,,2.770722891566265,,0.0963855421686747,8.69678653737444
A1472,Data Analytcis Course,150.0,5619.0,191.89,23.0,6.0,0.04,1735.0,,HYDERABAD,desktop,data anaytics training,0.026695141484249868,1.2792666666666666,34.15020466275138,0.04,9.041638438688834
A1473,Data Analytcis Course,171.0,5157.0,183.26,24.0,9.0,0.046,1430.0,,HYDERABAD,desktop,data analitics online,0.03315881326352531,1.0716959064327485,35.53616443668799,0.05263157894736842,7.803121248499401
A1474,Data Analytcis Course,139.0,4871.0,211.4,25.0,9.0,0.065,1247.0,2024-11-29,HYDERABAD,mobile,data anaytics training,0.028536234859371793,1.5208633093525181,43.39971258468487,0.06474820143884892,5.8987701040681175
A1475,Data Analytcis Course,117.0,5863.0,224.69,24.0,10.0,0.054,1580.0,,HYDERABAD,mobile,data analitics online,0.019955654101995565,1.9204273504273504,38.323383933140036,0.08547008547008547,7.031910632426899
A1476,Data Analytcis Course,196.0,3205.0,188.82,24.0,8.0,0.041,1837.0,,HYDERABAD,desktop,data analytics course,0.06115444617784711,0.9633673469387755,58.91419656786271,0.04081632653061224,9.728842283656393
A1477,Data Analytcis Course,184.0,5463.0,224.58,30.0,6.0,0.033,1565.0,,HYDERABAD,tablet,data anaytics training,0.03368112758557569,1.2205434782608697,41.10928061504668,0.03260869565217391,6.9685635408317745
A1478,Data Analytcis Course,103.0,5667.0,232.48,26.0,8.0,,1888.0,,HYDERABAD,tablet,learn data analytics,0.01817540144697371,2.257087378640777,41.02346920769366,0.07766990291262135,8.121128699242947
A1479,Data Analytcis Course,120.0,4666.0,180.72,30.0,3.0,0.053,1627.0,,HYDERABAD,mobile,analytics for data,0.02571795970852979,1.506,38.73124732104586,0.025,9.002877379371403
A1480,Data Analytcis Course,148.0,3632.0,214.46,28.0,10.0,,1589.0,,HYDERABAD,mobile,data anaytics training,0.040748898678414094,1.4490540540540542,59.047356828193834,0.06756756756756757,7.409307096894525
A1481,Data Analytcis Course,80.0,3834.0,181.22,15.0,3.0,0.037,1270.0,,HYDERABAD,tablet,learn data analytics,0.020865936358894107,2.26525,47.26656233698487,0.0375,7.008056505904426
A1482,Data Analytcis Course,168.0,3934.0,246.09,24.0,6.0,0.041,1592.0,,HYDERABAD,tablet,data analitics online,0.042704626334519574,1.4648214285714285,62.55465175394001,0.03571428571428571,6.469177943028973
A1483,Data Analytcis Course,136.0,5724.0,218.37,25.0,10.0,0.074,1268.0,2024-11-18,HYDERABAD,desktop,data analytics course,0.023759608665269043,1.6056617647058824,38.14989517819706,0.07352941176470588,5.80665842377616
A1484,Data Analytcis Course,86.0,4763.0,243.78,11.0,8.0,0.093,1770.0,,HYDERABAD,mobile,learn data analytics,0.018055847155154313,2.834651162790698,51.182028133529286,0.09302325581395349,7.260644843711543
A1485,Data Analytcis Course,175.0,3095.0,236.86,22.0,4.0,0.023,1617.0,,HYDERABAD,mobile,analytics for data,0.05654281098546042,1.3534857142857144,76.52988691437804,0.022857142857142857,6.826817529342227
A1486,Data Analytcis Course,173.0,5554.0,185.09,22.0,4.0,0.023,1000.0,2024-11-01,HYDERABAD,desktop,data analytics course,0.031148721642059778,1.0698843930635837,33.325531148721645,0.023121387283236993,5.402777027392079
A1487,Data Analytcis Course,192.0,3407.0,223.29,29.0,9.0,0.047,1538.0,,HYDERABAD,tablet,data anaytics training,0.05635456413266804,1.1629687499999999,65.53859700616378,0.046875,6.887903623091048
A1488,Data Analytcis Course,190.0,4465.0,241.38,28.0,5.0,0.026,1910.0,,HYDERABAD,desktop,analytics for data,0.0425531914893617,1.270421052631579,54.06047032474804,0.02631578947368421,7.912834534758472
A1489,Data Analytcis Course,161.0,3311.0,221.64,16.0,5.0,0.031,1006.0,,HYDERABAD,tablet,online data analytic,0.048625792811839326,1.376645962732919,66.94050135910601,0.031055900621118012,4.538891896769536
A1490,Data Analytcis Course,197.0,3265.0,200.4,15.0,3.0,0.015,1882.0,,HYDERABAD,mobile,learn data analytics,0.06033690658499234,1.017258883248731,61.37825421133231,0.015228426395939087,9.39121756487026
A1491,Data Analytcis Course,80.0,4969.0,210.7,25.0,3.0,0.037,1146.0,2024-11-05,HYDERABAD,tablet,analytics for data,0.016099818877037632,2.63375,42.40289796739786,0.0375,5.439012814428097
A1492,Data Analytcis Course,145.0,5368.0,200.88,14.0,4.0,0.028,1125.0,,HYDERABAD,tablet,learn data analytics,0.027011922503725784,1.3853793103448275,37.42175856929955,0.027586206896551724,5.600358422939069
A1493,Data Analytcis Course,90.0,5851.0,232.94,22.0,8.0,0.089,1421.0,2024-11-28,HYDERABAD,desktop,learn data analytics,0.015381985985301657,2.588222222222222,39.811997949068534,0.08888888888888889,6.100283334764317
A1494,Data Analytcis Course,109.0,4884.0,228.13,11.0,8.0,,1680.0,,HYDERABAD,desktop,data anaytics training,0.02231777231777232,2.092935779816514,46.709664209664204,0.07339449541284404,7.36422215403498
A1495,Data Analytcis Course,130.0,5719.0,,10.0,5.0,0.03,1208.0,,HYDERABAD,desktop,analytics for data,0.0227312467214548,,,0.038461538461538464,
A1496,Data Analytcis Course,179.0,5828.0,247.84,15.0,4.0,0.022,1127.0,,HYDERABAD,mobile,analytics for data,0.03071379547014413,1.3845810055865921,42.52573781743308,0.0223463687150838,4.54728857327308
A1497,Data Analytcis Course,181.0,4935.0,239.29,15.0,5.0,0.03,1497.0,,HYDERABAD,desktop,data anaytics training,0.03667679837892604,1.3220441988950276,48.48834853090172,0.027624309392265192,6.256007355092148
A1498,Data Analytcis Course,188.0,4491.0,201.73,24.0,7.0,0.037,1906.0,2024-11-21,HYDERABAD,mobile,online data analytic,0.04186150077933645,1.073031914893617,44.91872634157203,0.03723404255319149,9.448272443364894
A1499,Data Analytcis Course,139.0,3659.0,189.09,16.0,4.0,0.029,1892.0,,HYDERABAD,desktop,data anaytics training,0.03798852145394917,1.3603597122302158,51.67805411314567,0.02877697841726619,10.005817335660268
A1500,Data Analytcis Course,99.0,4809.0,210.6,24.0,8.0,0.081,,,HYDERABAD,mobile,data analytics course,0.020586400499064253,2.1272727272727274,43.79288833437305,0.08080808080808081,
A1501,Data Analytcis Course,95.0,5844.0,211.95,10.0,9.0,0.095,1444.0,,HYDERABAD,tablet,learn data analytics,0.01625598904859685,2.2310526315789474,36.26796714579055,0.09473684210526316,6.812927577258788
A1502,Data Analytcis Course,131.0,5559.0,,28.0,5.0,0.035,1604.0,,HYDERABAD,desktop,analytics for data,0.02356538945853571,,,0.03816793893129771,
A1503,Data Analytcis Course,190.0,4630.0,217.6,27.0,4.0,,1900.0,,HYDERABAD,tablet,data anaytics training,0.04103671706263499,1.1452631578947368,46.99784017278618,0.021052631578947368,8.731617647058824
A1504,Data Analytcis Course,123.0,3340.0,225.16,23.0,8.0,,1563.0,2024-11-26,HYDERABAD,mobile,online data analytic,0.03682634730538922,1.830569105691057,67.41317365269461,0.06504065040650407,6.941730325102149
A1505,Data Analytcis Course,97.0,3330.0,182.98,15.0,3.0,0.031,1102.0,2024-11-14,HYDERABAD,tablet,data analitics online,0.029129129129129128,1.8863917525773195,54.948948948948946,0.030927835051546393,6.022516121980544
A1506,Data Analytcis Course,164.0,3117.0,198.53,25.0,5.0,,1749.0,2024-11-29,HYDERABAD,mobile,analytics for data,0.05261469361565608,1.2105487804878048,63.69265319217196,0.03048780487804878,8.809751674809853
A1507,Data Analytcis Course,134.0,3562.0,247.59,24.0,10.0,0.075,1295.0,,HYDERABAD,tablet,analytics for data,0.037619314991577765,1.8476865671641791,69.50870297585627,0.07462686567164178,5.230421260955612
A1508,Data Analytcis Course,117.0,5144.0,221.76,23.0,3.0,0.038,1338.0,,HYDERABAD,mobile,analytics for data,0.022744945567651633,1.8953846153846152,43.110419906687405,0.02564102564102564,6.033549783549784
A1509,Data Analytcis Course,168.0,4375.0,,19.0,8.0,0.048,1267.0,2024-11-06,HYDERABAD,mobile,online data analytic,0.0384,,,0.047619047619047616,
A1510,Data Analytcis Course,173.0,3328.0,224.17,15.0,10.0,0.043,1904.0,2024-11-28,HYDERABAD,mobile,online data analytic,0.05198317307692308,1.2957803468208091,67.35877403846153,0.057803468208092484,8.493553999197038
A1511,Data Analytcis Course,158.0,4336.0,238.29,26.0,9.0,0.052,1245.0,2024-11-30,HYDERABAD,tablet,online data analytic,0.03643911439114391,1.5081645569620252,54.95618081180812,0.056962025316455694,5.224726173989676
A1512,Data Analytcis Course,135.0,5063.0,195.58,22.0,6.0,0.044,,,HYDERABAD,tablet,learn data analytics,0.02666403318190796,1.4487407407407409,38.62927118309303,0.044444444444444446,
A1513,Data Analytcis Course,182.0,5993.0,,19.0,3.0,,1254.0,,HYDERABAD,desktop,data anaytics training,0.03036876355748373,,,0.016483516483516484,
A1514,Data Analytcis Course,83.0,3926.0,237.07,22.0,5.0,0.06,1667.0,2024-11-07,HYDERABAD,mobile,analytics for data,0.021141110545084055,2.856265060240964,60.38461538461539,0.060240963855421686,7.031678407221496
A1515,Data Analytcis Course,85.0,5570.0,221.73,14.0,7.0,,1292.0,,HYDERABAD,tablet,data analitics online,0.01526032315978456,2.6085882352941177,39.80789946140035,0.08235294117647059,5.8269065981148245
A1516,Data Analytcis Course,98.0,5571.0,208.4,15.0,7.0,0.071,1890.0,,HYDERABAD,desktop,analytics for data,0.01759109675103213,2.126530612244898,37.40800574403159,0.07142857142857142,9.069097888675623
A1517,Data Analytcis Course,151.0,5700.0,182.27,13.0,3.0,0.054,1255.0,2024-11-23,HYDERABAD,mobile,data analytics course,0.026491228070175437,1.2070860927152318,31.97719298245614,0.019867549668874173,6.885389806331267
A1518,Data Analytcis Course,122.0,4441.0,244.38,25.0,6.0,0.049,,,HYDERABAD,desktop,analytics for data,0.027471290249943707,2.0031147540983607,55.02814681378068,0.04918032786885246,
A1519,Data Analytcis Course,84.0,4646.0,226.32,11.0,7.0,0.051,1596.0,2024-11-30,HYDERABAD,tablet,analytics for data,0.018080068876452863,2.6942857142857144,48.71287128712871,0.08333333333333333,7.0519618239660655
A1520,Data Analytcis Course,127.0,5964.0,182.01,26.0,,,1490.0,,HYDERABAD,desktop,data analytics course,0.02129443326626425,1.4331496062992126,30.51810865191147,,8.186363386627109
A1521,Data Analytcis Course,148.0,4725.0,187.02,25.0,3.0,0.02,1586.0,,HYDERABAD,mobile,learn data analytics,0.03132275132275132,1.2636486486486487,39.58095238095238,0.02027027027027027,8.480376430328306
A1522,Data Analytcis Course,85.0,4230.0,233.73,18.0,8.0,,1998.0,,HYDERABAD,tablet,data analytics course,0.02009456264775414,2.749764705882353,55.25531914893617,0.09411764705882353,8.548324990373509
A1523,Data Analytcis Course,105.0,3880.0,246.63,19.0,8.0,0.051,1598.0,,HYDERABAD,mobile,data anaytics training,0.027061855670103094,2.3488571428571428,63.56443298969072,0.0761904761904762,6.479341523740016
A1524,Data Analytcis Course,187.0,3842.0,214.35,28.0,5.0,0.031,1596.0,,HYDERABAD,mobile,online data analytic,0.048672566371681415,1.1462566844919786,55.79125455491931,0.026737967914438502,7.445766270118964
A1525,Data Analytcis Course,153.0,3143.0,244.73,12.0,10.0,0.065,1365.0,,HYDERABAD,mobile,online data analytic,0.04867960547247852,1.5995424836601306,77.86509704104358,0.06535947712418301,5.577575287051036
A1526,Data Analytcis Course,143.0,5781.0,208.63,21.0,9.0,0.05,1443.0,,HYDERABAD,mobile,data analitics online,0.024736204808856598,1.4589510489510489,36.08891195294932,0.06293706293706294,6.916550831615779
A1527,Data Analytcis Course,183.0,3790.0,202.48,21.0,8.0,0.037,1215.0,,HYDERABAD,desktop,data anaytics training,0.04828496042216359,1.106448087431694,53.424802110817936,0.04371584699453552,6.000592651126038
A1528,Data Analytcis Course,172.0,4250.0,235.2,28.0,7.0,,1036.0,,HYDERABAD,mobile,learn data analytics,0.04047058823529412,1.3674418604651162,55.34117647058823,0.040697674418604654,4.404761904761905
A1529,Data Analytcis Course,98.0,3800.0,240.45,16.0,3.0,0.031,1700.0,2024-11-01,HYDERABAD,desktop,data analytics course,0.025789473684210525,2.4535714285714283,63.27631578947368,0.030612244897959183,7.070076939072573
A1530,Data Analytcis Course,87.0,4675.0,200.71,28.0,6.0,0.069,1428.0,,HYDERABAD,mobile,analytics for data,0.018609625668449196,2.3070114942528734,42.93262032085562,0.06896551724137931,7.114742663544417
A1531,Data Analytcis Course,84.0,5711.0,216.02,13.0,6.0,,1654.0,2024-11-17,HYDERABAD,desktop,data anaytics training,0.014708457362983715,2.5716666666666668,37.82524951847312,0.07142857142857142,7.656698453846865
A1532,Data Analytcis Course,151.0,3022.0,191.35,13.0,4.0,0.026,1133.0,,HYDERABAD,mobile,learn data analytics,0.0499669093315685,1.2672185430463576,63.31899404367967,0.026490066225165563,5.921087013326366
A1533,Data Analytcis Course,113.0,5407.0,203.23,15.0,9.0,0.037,1745.0,,HYDERABAD,desktop,data anaytics training,0.0208988348437211,1.7984955752212388,37.58646199371185,0.07964601769911504,8.586330758254196
A1534,Data Analytcis Course,89.0,5095.0,202.21,22.0,4.0,0.056,1065.0,2024-11-07,HYDERABAD,tablet,data analytics course,0.01746810598626104,2.2720224719101125,39.687929342492644,0.0449438202247191,5.266801839671628
A1535,Data Analytcis Course,174.0,3587.0,217.67,10.0,7.0,0.04,1226.0,,HYDERABAD,mobile,data anaytics training,0.04850850292723725,1.2509770114942529,60.68302202397546,0.040229885057471264,5.63237928975054
A1536,Data Analytcis Course,166.0,5524.0,205.53,25.0,7.0,,1241.0,,HYDERABAD,mobile,analytics for data,0.03005068790731354,1.238132530120482,37.206734250543086,0.04216867469879518,6.038047973531844
A1537,Data Analytcis Course,196.0,3777.0,246.52,,5.0,0.026,1159.0,2024-11-15,HYDERABAD,desktop,data analytics course,0.051893036801694464,1.2577551020408164,65.26873179772306,0.025510204081632654,4.701444101898426
A1538,Data Analytcis Course,97.0,3480.0,233.32,22.0,3.0,0.031,1008.0,,HYDERABAD,desktop,data analitics online,0.027873563218390806,2.4053608247422678,67.04597701149426,0.030927835051546393,4.320246871249786
A1539,Data Analytcis Course,89.0,4200.0,200.98,23.0,8.0,,1476.0,,HYDERABAD,mobile,data analytics course,0.02119047619047619,2.258202247191011,47.852380952380955,0.0898876404494382,7.344014329784058
A1540,Data Analytcis Course,130.0,5384.0,218.6,24.0,8.0,0.062,1943.0,2024-11-28,HYDERABAD,mobile,learn data analytics,0.024145616641901933,1.6815384615384614,40.60178306092125,0.06153846153846154,8.888380603842636
